City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Pevek,RU,69.7,170.31,38.71,92,100,3.71,light rain
228,Corrales,US,35.24,-106.61,95.0,14,1,9.17,clear sky
229,Grindavik,IS,63.84,-22.43,55.4,66,0,14.99,clear sky
230,Bermejo,AR,-32.88,-68.8,62.6,11,0,6.93,clear sky
231,Coihaique,CL,-45.58,-72.07,57.2,44,20,9.17,few clouds
232,Ishigaki,JP,24.34,124.16,81.93,82,96,32.73,light rain
233,Bindi,SL,9.92,-11.45,71.87,96,50,5.95,light rain
234,Yanam,IN,16.73,82.22,78.49,90,95,6.29,moderate rain
235,Sinnamary,GF,5.38,-52.95,81.34,76,0,12.48,clear sky
236,Broome,US,42.25,-75.83,82.99,42,40,9.17,scattered clouds
237,Vilhena,BR,-12.74,-60.15,64.4,55,47,12.75,scattered clouds
238,Plaridel,PH,14.89,120.86,79.0,94,98,2.24,overcast clouds
239,Methoni,GR,36.82,21.7,81.0,78,0,6.73,clear sky
240,Andenes,NO,69.31,16.12,53.6,87,74,5.82,broken clouds
241,Turtas,RU,58.94,69.13,51.1,97,29,4.54,scattered clouds
242,Urubicha,BO,-15.38,-62.95,57.72,42,98,5.84,overcast clouds
243,Rocha,UY,-34.48,-54.33,48.7,69,0,4.85,clear sky
244,Nyurba,RU,63.28,118.33,41.25,83,0,2.98,clear sky
245,Lompoc,US,34.64,-120.46,82.0,60,75,10.29,haze
246,Dinard,FR,48.63,-2.06,64.4,82,0,12.75,clear sky
247,Pangkalanbuun,ID,-2.68,111.62,75.07,97,99,2.3,overcast clouds
248,Georgetown,MY,5.41,100.34,80.6,94,40,8.05,thunderstorm with light rain
249,Coruripe,BR,-10.13,-36.18,73.87,86,94,7.92,overcast clouds
250,Laguna,US,38.42,-121.42,84.2,42,90,3.71,haze
251,Fort-Shevchenko,KZ,44.51,50.26,76.05,63,100,21.94,overcast clouds
252,Kaeo,NZ,-35.1,173.78,53.01,3,3,1.01,clear sky
253,Geraldton,AU,-28.77,114.6,57.2,76,90,9.17,overcast clouds
254,Boundiali,CI,9.52,-6.49,73.96,93,82,1.1,moderate rain
255,Port Arthur,CN,38.8,121.27,64.4,93,0,4.47,clear sky
256,Port-Gentil,GA,-0.72,8.78,74.97,82,96,12.88,overcast clouds
257,Ust-Nera,RU,64.57,143.2,39.65,70,0,5.79,clear sky
258,Egvekinot,RU,66.32,-179.17,46.06,93,100,6.4,light rain
